"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.296811218E2,6.506081332E1,2.546820473E1,2.024624020E1,1.730000019E0,8.959999847E1,3.790092468E0,2.500000000E0
1.306769617E2,6.506081490E1,2.546823901E1,2.018960281E1,1.629999995E0,8.780000305E1,3.790092468E0,2.500000000E0
1.316775657E2,6.506081588E1,2.546826977E1,2.013327043E1,1.529999971E0,9.209999847E1,3.790092468E0,2.500000000E0
1.326775695E2,6.506081716E1,2.546829828E1,2.004281903E1,1.460000038E0,8.900000000E1,3.790092468E0,2.500000000E0
1.336775628E2,6.506081849E1,2.546832264E1,1.966873677E1,1.190000057E0,8.690000153E1,3.790092468E0,2.500000000E0
1.346777452E2,6.506082041E1,2.546835246E1,1.960984045E1,1.480000019E0,8.700000000E1,3.790092468E0,2.500000000E0
1.356772285E2,6.506082099E1,2.546838245E1,1.977970442E1,1.389999986E0,9.169999695E1,3.790092468E0,2.500000000E0
1.366779358E2,6.506082136E1,2.546840894E1,2.024955587E1,1.259999990E0,9.419999695E1,3.790092468E0,2.500000000E0
1.376773032E2,6.506082201E1,2.546843984E1,2.003349463E1,1.500000000E0,8.800000000E1,3.790092468E0,2.500000000E0
1.386772336E2,6.506082398E1,2.546847343E1,2.004808504E1,1.570000052E0,8.540000153E1,3.790092468E0,2.500000000E0
1.396770492E2,6.506082461E1,2.546851159E1,2.042705635E1,1.750000000E0,9.040000153E1,3.790092468E0,2.500000000E0
1.406772760E2,6.506082410E1,2.546854917E1,2.030792012E1,1.710000038E0,9.259999847E1,3.790092468E0,2.500000000E0
1.416771857E2,6.506082372E1,2.546858300E1,2.048663498E1,1.620000005E0,9.319999695E1,3.790092468E0,2.500000000E0
1.426778983E2,6.506082340E1,2.546861464E1,2.043634568E1,1.559999943E0,9.319999695E1,3.790092468E0,2.500000000E0
1.436777222E2,6.506082298E1,2.546863875E1,2.000702724E1,1.210000038E0,9.469999695E1,3.790092468E0,2.500000000E0
1.446770775E2,6.506082194E1,2.546866259E1,1.968146878E1,1.220000029E0,9.559999847E1,3.790092468E0,2.500000000E0
1.456769660E2,6.506082092E1,2.546868917E1,1.942506345E1,1.340000033E0,9.680000305E1,3.790092468E0,2.500000000E0
1.466772285E2,6.506081965E1,2.546871531E1,1.912391940E1,1.279999971E0,9.569999695E1,3.790092468E0,2.500000000E0
1.476769320E2,6.506081930E1,2.546874359E1,1.894844662E1,1.259999990E0,9.419999695E1,3.790092468E0,2.500000000E0
1.486772629E2,6.506081945E1,2.546877516E1,1.919295693E1,1.389999986E0,9.030000305E1,3.790092468E0,2.500000000E0
1.496778060E2,6.506081981E1,2.546880974E1,1.919412032E1,1.570000052E0,8.959999847E1,3.790092468E0,2.500000000E0
1.506778974E2,6.506081967E1,2.546884673E1,1.926040869E1,1.669999957E0,9.030000305E1,3.790092468E0,2.500000000E0
1.516779227E2,6.506081873E1,2.546888604E1,1.908768395E1,1.779999971E0,9.150000000E1,3.790092468E0,2.500000000E0
1.526775009E2,6.506081907E1,2.546892070E1,1.922642061E1,1.570000052E0,8.569999695E1,3.790092468E0,2.500000000E0
1.536771056E2,6.506081975E1,2.546895507E1,1.929954431E1,1.659999967E0,8.540000153E1,3.790092468E0,2.500000000E0
1.546776362E2,6.506081886E1,2.546898796E1,1.968345946E1,1.559999943E0,8.930000305E1,3.790092468E0,2.500000000E0
1.556775051E2,6.506081814E1,2.546901724E1,1.961492053E1,1.409999967E0,8.909999847E1,3.790092468E0,2.500000000E0
1.566772878E2,6.506081925E1,2.546904382E1,1.934404905E1,1.299999952E0,8.350000000E1,3.790092468E0,2.500000000E0
1.576778383E2,6.506081924E1,2.546907347E1,1.919433314E1,1.399999976E0,8.840000153E1,3.790092468E0,2.500000000E0
1.586770932E2,6.506081888E1,2.546909939E1,1.866394066E1,1.169999957E0,9.300000000E1,3.790092468E0,2.500000000E0
1.596778070E2,6.506081699E1,2.546912774E1,1.869897873E1,1.360000014E0,1.030000000E2,3.790092468E0,2.500000000E0
1.606771683E2,6.506081577E1,2.546915743E1,1.879108457E1,1.399999976E0,9.430000305E1,3.790092468E0,2.500000000E0
1.616774841E2,6.506081675E1,2.546918845E1,1.866218141E1,1.450000048E0,9.019999695E1,3.790092468E0,2.500000000E0
1.626777441E2,6.506081682E1,2.546922082E1,1.879383784E1,1.490000010E0,9.209999847E1,3.790092468E0,2.500000000E0
1.636777823E2,6.506081557E1,2.546925364E1,1.854005780E1,1.559999943E0,9.980000305E1,3.790092468E0,2.500000000E0
1.646771592E2,6.506081512E1,2.546929029E1,1.889827740E1,1.700000048E0,9.619999695E1,3.790092468E0,2.500000000E0
1.656776645E2,6.506081520E1,2.546932670E1,1.888094746E1,1.690000057E0,9.209999847E1,3.790092468E0,2.500000000E0
1.666774829E2,6.506081530E1,2.546936243E1,1.901937915E1,1.669999957E0,8.859999847E1,3.790092468E0,2.500000000E0
1.676777326E2,6.506081482E1,2.546939794E1,1.922397315E1,1.659999967E0,9.409999847E1,3.790092468E0,2.500000000E0
1.686770224E2,6.506081313E1,2.546942693E1,1.931961912E1,1.419999957E0,9.669999695E1,3.790092468E0,2.500000000E0
1.696777843E2,6.506081250E1,2.546945238E1,1.920200746E1,1.259999990E0,8.940000153E1,3.790092468E0,2.500000000E0
1.706772377E2,6.506081167E1,2.546947826E1,1.895182756E1,1.320000052E0,9.019999695E1,3.790092468E0,2.500000000E0
1.716771442E2,6.506081106E1,2.546950046E1,1.839934004E1,1.019999981E0,8.840000153E1,3.790092468E0,2.500000000E0
1.726769963E2,6.506081126E1,2.546952852E1,1.825383529E1,1.259999990E0,8.559999847E1,3.790092468E0,2.500000000E0
1.736771729E2,6.506081150E1,2.546955728E1,1.834362113E1,1.230000019E0,8.309999847E1,3.790092468E0,2.500000000E0
1.746776712E2,6.506081162E1,2.546959116E1,1.855498962E1,1.429999948E0,8.659999847E1,3.790092468E0,2.500000000E0
1.756771671E2,6.506081027E1,2.546962903E1,1.865405443E1,1.600000024E0,9.050000000E1,3.790092468E0,2.500000000E0
1.766778937E2,6.506081033E1,2.546966785E1,1.859973746E1,1.639999986E0,8.900000000E1,3.790092468E0,2.500000000E0
1.776775825E2,6.506081101E1,2.546970823E1,1.881421925E1,1.830000043E0,8.780000305E1,3.790092468E0,2.500000000E0
1.786770205E2,6.506081233E1,2.546974416E1,1.914369054E1,1.639999986E0,8.830000305E1,3.790092468E0,2.500000000E0
1.796774817E2,6.506081230E1,2.546978180E1,1.933955658E1,1.740000010E0,9.230000305E1,3.790092468E0,2.500000000E0
1.806771203E2,6.506081153E1,2.546981482E1,1.932546144E1,1.519999981E0,9.109999847E1,3.790092468E0,2.500000000E0
1.816769833E2,6.506081107E1,2.546984613E1,1.933828250E1,1.539999962E0,9.259999847E1,3.790092468E0,2.500000000E0
1.826770380E2,6.506081107E1,2.546987362E1,1.911080754E1,1.320000052E0,9.240000153E1,3.790092468E0,2.500000000E0
1.836770497E2,6.506080990E1,2.546990212E1,1.911020082E1,1.419999957E0,9.900000000E1,3.790092468E0,2.500000000E0
1.846778153E2,6.506080850E1,2.546992613E1,1.859915668E1,1.230000019E0,9.690000153E1,3.790092468E0,2.500000000E0
1.856779313E2,6.506080843E1,2.546994983E1,1.830240642E1,1.149999976E0,9.219999695E1,3.790092468E0,2.500000000E0
1.866774120E2,6.506080790E1,2.546997823E1,1.839902845E1,1.370000005E0,9.240000153E1,3.790092468E0,2.500000000E0
1.876769712E2,6.506080799E1,2.547000855E1,1.846281355E1,1.370000005E0,8.640000153E1,3.790092468E0,2.500000000E0
1.886778464E2,6.506080894E1,2.547004157E1,1.851469676E1,1.559999943E0,8.519999695E1,3.790092468E0,2.500000000E0
1.896773589E2,6.506080899E1,2.547007921E1,1.882713991E1,1.750000000E0,8.830000305E1,3.790092468E0,2.500000000E0
1.906773516E2,6.506081040E1,2.547011784E1,1.885503677E1,1.779999971E0,8.609999847E1,3.790092468E0,2.500000000E0
1.916771995E2,6.506081129E1,2.547015444E1,1.883721825E1,1.730000019E0,8.950000000E1,3.790092468E0,2.500000000E0
1.926770396E2,6.506081009E1,2.547018845E1,1.878967613E1,1.659999967E0,9.340000153E1,3.790092468E0,2.500000000E0
1.936769986E2,6.506080899E1,2.547021893E1,1.872186989E1,1.470000029E0,9.409999847E1,3.790092468E0,2.500000000E0
1.946770795E2,6.506080984E1,2.547024820E1,1.876832060E1,1.440000057E0,8.540000153E1,3.790092468E0,2.500000000E0
1.956777608E2,6.506081176E1,2.547027199E1,1.849152809E1,1.179999948E0,8.509999847E1,3.790092468E0,2.500000000E0
1.966774854E2,6.506081462E1,2.547029751E1,1.829737703E1,1.320000052E0,8.180000305E1,3.790092468E0,2.500000000E0
1.976772877E2,6.506082325E1,2.547032089E1,1.815192959E1,1.350000024E0,5.670000076E1,3.790092468E0,2.500000000E0
1.986769875E2,6.506083749E1,2.547033862E1,1.825098624E1,1.409999967E0,3.320000076E1,3.790092468E0,2.500000000E0
1.996774666E2,6.506085348E1,2.547034674E1,1.832947229E1,1.350000024E0,1.469999981E1,3.790092468E0,2.500000000E0
2.006774450E2,6.506087016E1,2.547034864E1,1.839855797E1,1.370000005E0,4.699999809E0,3.790092468E0,2.500000000E0
2.016778651E2,6.506088802E1,2.547034808E1,1.829930797E1,1.620000005E0,3.582000122E2,3.790092468E0,2.500000000E0
2.026776245E2,6.506090666E1,2.547034346E1,1.834770127E1,1.730000019E0,3.527000122E2,3.790092468E0,2.500000000E0
2.036770125E2,6.506092582E1,2.547033811E1,1.864945121E1,1.830000043E0,3.497000122E2,3.790092468E0,2.500000000E0
2.047050395E2,6.506094269E1,2.547033464E1,1.891329941E1,1.740000010E0,3.513999939E2,3.790092468E0,2.500000000E0
2.056780108E2,6.506095922E1,2.547033078E1,1.893074876E1,1.779999971E0,3.507999878E2,3.790092468E0,2.500000000E0
2.066785226E2,6.506097279E1,2.547032658E1,1.845369236E1,1.549999952E0,3.492000122E2,3.790092468E0,2.500000000E0
2.076788317E2,6.506098512E1,2.547032131E1,1.846265926E1,1.500000000E0,3.495000000E2,3.790092468E0,2.500000000E0
2.086783917E2,6.506099747E1,2.547031554E1,1.810956555E1,1.509999990E0,3.487999878E2,3.790092468E0,2.500000000E0
2.096786629E2,6.506100872E1,2.547031005E1,1.775720471E1,1.320000052E0,3.492000122E2,3.790092468E0,2.500000000E0
2.106782679E2,6.506101735E1,2.547030745E1,1.692578025E1,1.159999967E0,3.511000061E2,3.790092468E0,2.500000000E0
2.116783975E2,6.506102872E1,2.547030467E1,1.721868334E1,1.389999986E0,3.542000122E2,3.790092468E0,2.500000000E0
2.126783641E2,6.506104185E1,2.547030097E1,1.746178097E1,1.480000019E0,3.517999878E2,3.790092468E0,2.500000000E0
2.136785273E2,6.506105560E1,2.547029656E1,1.734892126E1,1.559999943E0,3.501000061E2,3.790092468E0,2.500000000E0
2.146782296E2,6.506106987E1,2.547029139E1,1.754239672E1,1.559999943E0,3.510000000E2,3.790092468E0,2.500000000E0
2.156780015E2,6.506108557E1,2.547028575E1,1.802786376E1,1.769999981E0,3.517000122E2,3.790092468E0,2.500000000E0
2.166782665E2,6.506110077E1,2.547027773E1,1.827028874E1,1.769999981E0,3.500000000E2,3.790092468E0,2.500000000E0
2.176787577E2,6.506111525E1,2.547026760E1,1.806111463E1,1.740000010E0,3.475000000E2,3.790092468E0,2.500000000E0
2.186781040E2,6.506112776E1,2.547025667E1,1.770740993E1,1.519999981E0,3.448999939E2,3.790092468E0,2.500000000E0
2.196781701E2,6.506114026E1,2.547024911E1,1.778638383E1,1.549999952E0,3.457999878E2,3.790092468E0,2.500000000E0
2.206783268E2,6.506115098E1,2.547024436E1,1.753210677E1,1.370000005E0,3.491000061E2,3.790092468E0,2.500000000E0
2.216789238E2,6.506116249E1,2.547024263E1,1.744592057E1,1.470000029E0,3.552000122E2,3.790092468E0,2.500000000E0
2.226788871E2,6.506117327E1,2.547024144E1,1.727794760E1,1.299999952E0,3.550000000E2,3.790092468E0,2.500000000E0
2.236784944E2,6.506118568E1,2.547023996E1,1.747325522E1,1.470000029E0,3.568999939E2,3.790092468E0,2.500000000E0
2.246787024E2,6.506119780E1,2.547023814E1,1.739378265E1,1.330000043E0,3.561000061E2,3.790092468E0,2.500000000E0
2.256788319E2,6.506121030E1,2.547023309E1,1.728092334E1,1.379999995E0,3.497000122E2,3.790092468E0,2.500000000E0
2.266779905E2,6.506122368E1,2.547022711E1,1.743368859E1,1.500000000E0,3.518999939E2,3.790092468E0,2.500000000E0
2.276787065E2,6.506123690E1,2.547022723E1,1.776339550E1,1.360000014E0,4.000000060E-1,3.790092468E0,2.500000000E0
2.286786055E2,6.506125051E1,2.547023496E1,1.794460458E1,1.549999952E0,1.569999981E1,3.790092468E0,2.500000000E0
2.296789111E2,6.506126298E1,2.547025652E1,1.795149924E1,1.740000010E0,3.720000076E1,3.790092468E0,2.500000000E0
2.306788110E2,6.506127000E1,2.547028622E1,1.808821866E1,1.629999995E0,5.409999847E1,3.790092468E0,2.500000000E0
2.316782977E2,6.506127430E1,2.547032240E1,1.854207851E1,1.750000000E0,6.440000153E1,3.790092468E0,2.500000000E0
2.326788597E2,6.506127973E1,2.547035503E1,1.862771244E1,1.649999976E0,5.620000076E1,3.790092468E0,2.500000000E0
2.336784436E2,6.506128766E1,2.547037979E1,1.871426006E1,1.559999943E0,4.709999847E1,3.790092468E0,2.500000000E0
2.346787544E2,6.506129641E1,2.547039541E1,1.827730781E1,1.379999995E0,3.490000153E1,3.790092468E0,2.500000000E0
2.356781970E2,6.506130708E1,2.547040312E1,1.797591303E1,1.269999981E0,1.950000000E1,3.790092468E0,2.500000000E0
2.366784791E2,6.506131846E1,2.547039791E1,1.786824211E1,1.139999986E0,5.400000095E0,3.790092468E0,2.500000000E0
2.376779786E2,6.506133099E1,2.547038653E1,1.778712036E1,1.200000048E0,3.533999939E2,3.790092468E0,2.500000000E0
2.386784418E2,6.506134470E1,2.547037441E1,1.753912796E1,1.149999976E0,3.527000122E2,3.790092468E0,2.500000000E0
2.396779956E2,6.506135966E1,2.547036563E1,1.776720968E1,1.220000029E0,3.547000122E2,3.790092468E0,2.500000000E0
2.406788548E2,6.506137510E1,2.547035650E1,1.751921696E1,1.350000024E0,3.547000122E2,3.790092468E0,2.500000000E0
2.416782943E2,6.506138979E1,2.547034365E1,1.715775975E1,1.330000043E0,3.452000122E2,3.790092468E0,2.500000000E0
